benchmark,method,alpha,flagged_median,flagged_iqr_lo,flagged_iqr_hi,realised_risk_median,flagged_per_protein,calibration_credit,n_splits
Disorder-NOX,AlphaFold-pLDDT,0.1,0.5986,0.5759,0.6128,0.0867,0.6500,0.0514,12
Disorder-NOX,AlphaFold-pLDDT,0.05,0.7214,0.7062,0.7485,0.0403,0.7760,0.0546,12
Disorder-NOX,AlphaFold-rsa,0.2,0.4568,0.4478,0.4715,0.1952,0.4910,0.0342,12
Disorder-NOX,AlphaFold-rsa,0.1,0.6027,0.5754,0.6251,0.0827,0.6560,0.0533,12
Disorder-NOX,AlphaFold-rsa,0.05,0.7592,0.7326,0.7807,0.0411,0.8340,0.0748,12
Disorder-NOX,AlphaFold3-binding,0.2,0.4548,0.4416,0.4701,0.1850,0.5130,0.0582,12
Disorder-NOX,AlphaFold3-binding,0.1,0.5980,0.5544,0.6175,0.0901,0.6640,0.0660,12
Disorder-NOX,AlphaFold3-binding,0.05,0.7544,0.7284,0.8048,0.0439,0.8030,0.0486,12
Disorder-NOX,AlphaFold3-pLDDT,0.2,0.4488,0.4359,0.4567,0.1774,0.5180,0.0692,12
Disorder-NOX,AlphaFold3-pLDDT,0.1,0.5954,0.5612,0.6260,0.0907,0.6900,0.0946,12
Disorder-NOX,AlphaFold3-pLDDT,0.05,0.7590,0.7388,0.7763,0.0340,0.8240,0.0650,12
Disorder-NOX,AlphaFold3-rsa,0.2,0.4549,0.4415,0.4687,0.1851,0.4940,0.0391,12
Disorder-NOX,AlphaFold3-rsa,0.1,0.5981,0.5544,0.6181,0.0902,0.6690,0.0709,12
Disorder-NOX,AlphaFold3-rsa,0.05,0.7544,0.7284,0.8048,0.0439,0.8120,0.0576,12
